lat,lng,height
43.81619,-75.61190,449.33
43.82859,-75.60609,427.41
43.81479,-75.60940,449.97
43.78559,-75.62940,493.59
43.82019,-75.60290,435.34
43.79749,-75.60830,482.88
43.81099,-75.65840,471.66
43.80619,-75.63399,480.53
43.80609,-75.59190,441.57
43.82999,-75.61000,419.00
43.80549,-75.64320,479.52
43.80179,-75.61290,474.58
43.77559,-75.61310,506.71
43.83619,-75.63800,428.13
43.83529,-75.63530,430.37
43.80385,-75.61875,485.69
43.83729,-75.64090,424.82
43.82219,-75.60680,442.27
43.81149,-75.60380,458.79
43.82859,-75.63959,450.60
43.81089,-75.61790,464.55
43.78079,-75.64300,491.54
43.82649,-75.63030,448.05
43.79399,-75.64840,485.90
43.81749,-75.61430,442.59
43.80279,-75.61570,478.19
43.80469,-75.66330,472.30
43.82079,-75.61719,449.95
43.81169,-75.67920,449.27
43.80965,-75.65588,473.69
43.81889,-75.62830,457.04
43.80749,-75.65040,472.83
43.80839,-75.59940,455.61
43.77959,-75.61830,498.48
43.79009,-75.61180,497.28
43.82629,-75.59620,404.93
43.83109,-75.61270,417.14
43.80739,-75.62430,480.90
43.79549,-75.62160,487.40
43.80939,-75.61490,466.72
43.82369,-75.60970,441.33
43.82029,-75.59080,421.73
43.81639,-75.65580,467.20
43.80529,-75.62110,480.17
43.81319,-75.60730,450.30
43.80399,-75.58880,436.24
43.81879,-75.59970,435.27
43.81749,-75.66710,455.22
43.82019,-75.63080,455.29
43.78549,-75.61710,493.48
43.80989,-75.58870,439.83
43.80909,-75.63670,484.03
43.80289,-75.60520,465.96
43.79229,-75.64440,490.05
43.82219,-75.62020,449.29
43.80579,-75.66600,466.68
43.79529,-75.56860,417.78
43.79069,-75.59410,485.13
43.78389,-75.61060,497.35
43.80349,-75.63000,483.32
43.82779,-75.63420,440.44
43.80989,-75.60160,459.71
43.79549,-75.60360,484.48
43.81029,-75.64130,470.96
43.79159,-75.62775,492.85
44.88839,-73.94160,395.10
44.90399,-73.94270,376.58
44.87179,-73.94649,437.93
44.91109,-73.93880,380.89
44.87539,-73.98920,419.70
44.91209,-73.92900,380.66
44.93599,-73.95230,344.29
44.89349,-73.94089,378.69
44.92959,-73.92280,355.43
44.90069,-73.94900,376.75
44.94409,-73.92130,338.88
44.86829,-73.94690,455.44
44.90199,-73.91949,362.34
44.91409,-73.93539,377.82
44.90129,-73.94030,370.08
44.94629,-73.92670,333.68
44.97889,-73.91770,298.88
44.91199,-73.95869,358.37
44.91849,-73.96080,348.36
44.93149,-73.96220,340.17
44.91549,-73.95930,355.42
44.92679,-73.93470,367.68
44.87249,-73.92230,386.59
44.96169,-73.93890,324.01
44.96389,-73.92900,321.95
44.88229,-73.92509,379.03
44.90279,-73.93230,375.48
44.93979,-73.95779,332.74
44.87479,-73.92280,394.61
44.98069,-73.94140,276.61
44.90669,-73.92030,371.14
44.99159,-73.90380,290.64
44.90339,-73.95119,375.74
44.97599,-73.94150,290.55
44.97179,-73.92560,304.82
44.98309,-73.92570,282.58
